team_id,season,week,team_id_opp,matchup_type,result,score_team,score_opp
1073395,2014,14,1073361,Playoff Game,L,87.28,101.36
1073395,2014,2,1087309,Division Game,L,83.04,108.46
1073395,2014,3,1107405,Non-Division Game,L,84.28,86.52
1073395,2014,4,1089754,Division Game,W,106.58,70.4
1073395,2014,5,1075098,Division Game,W,102.94,91.26
1073395,2014,6,1073671,Division Game,W,112.06,97.2
1073395,2014,7,1073358,Non-Division Game,W,100.3,58.94
1073395,2014,8,1073361,Division Game,W,94.12,75
1073395,2014,9,1087309,Division Game,L,73.26,88.76
1073395,2015,1,1073361,Division Game,L,88.96,91.62
1073395,2015,10,1073420,Non-Division Game,L,79.32,85.02
1073395,2015,11,1089754,Division Game,W,76.38,62.42
1073395,2015,12,1075098,Division Game,L,73.28,134.96
1073395,2015,13,1073671,Division Game,W,130.12,50.72
1073395,2015,15,1115989,Consolation Game,L,64.46,88.1
1073395,2015,16,1087309,Consolation Game,L,87.44,149.1
1073395,2015,2,1087309,Division Game,W,96.06,57.3
1073395,2015,3,1115989,Non-Division Game,W,130.32,65.84
1073395,2015,4,1089754,Division Game,W,86.96,79.12
1073395,2015,5,1075098,Division Game,L,68.44,85.94
1073395,2015,6,1073671,Division Game,L,74.5,85.58
1073395,2015,7,1073370,Non-Division Game,W,80.5,48.3
1073395,2015,8,1073361,Division Game,L,66.58,104.14
1073395,2015,9,1087309,Division Game,W,97.56,96.14
1073395,2016,1,1073671,Division Game,W,106.26,84.32
1073395,2016,10,1073358,Non-Division Game,L,67.14,125.9
1073395,2016,11,1089754,Division Game,W,104.14,98.52
1073395,2016,12,1087309,Division Game,L,87.42,160.24
1073395,2016,13,1073361,Division Game,L,96.56,122.62
1073395,2016,14,1073363,Playoff Game,W,94.64,79.5
1073395,2016,15,1089754,Playoff Game,W,88.38,80.14
1073395,2016,16,1073361,Championship,L,95.38,129.82
1073395,2016,2,1075098,Division Game,L,78.82,83.36
1073395,2016,3,1107405,Non-Division Game,W,111.7,53.92
1073395,2016,4,1089754,Division Game,L,70.54,89.02
1073395,2016,5,1087309,Division Game,W,108.26,90.28
1073395,2016,6,1073361,Division Game,L,100.56,102.72
1073395,2016,7,1073363,Non-Division Game,W,113.74,101.36
1073395,2016,8,1073671,Division Game,W,97.84,72.2
1073395,2016,9,1075098,Division Game,W,98.98,84.64
1073395,2017,1,1073361,Division Game,W,95.34,55.12
1073395,2017,10,1073420,Non-Division Game,W,101.04,75
1073395,2017,11,1089754,Division Game,W,125,96.26
1073395,2017,12,1075098,Division Game,L,63.88,86.24
1073395,2017,13,1073671,Division Game,L,76.82,77.66
1073395,2017,15,1075098,Consolation Game,W,104.32,94.64
1073395,2017,16,1073420,Consolation Game,W,83.76,62.72
1073395,2017,2,1087309,Division Game,L,96.22,97.68
1073395,2017,3,1115989,Non-Division Game,W,86.52,41.14
1073395,2017,4,1089754,Division Game,L,85.36,99.68
1073395,2017,5,1075098,Division Game,W,110.54,82.66
1073395,2017,6,1073671,Division Game,L,64.52,74.64
1073395,2017,7,1073370,Non-Division Game,L,90.42,121.22
1073395,2017,8,1073361,Division Game,L,101.4,111.18
1073395,2017,9,1087309,Division Game,L,62,89.46
1073395,2018,1,1073671,Division Game,W,108.84,106.96
1073395,2018,2,1075098,Division Game,L,62.14,106.84
1073395,2018,3,1107405,Non-Division Game,L,112.4,133.22
1073420,2014,1,1115989,Division Game,L,76.02,106.24
1073420,2014,10,1073361,Non-Division Game,W,63.56,56.76
1073420,2014,11,1107405,Division Game,L,65.12,99.02
1073420,2014,12,1073370,Division Game,L,82.72,107.04
1073420,2014,13,1073358,Division Game,W,131.24,100
1073420,2014,14,1107405,Playoff Game,W,124.7,97.92
1073420,2014,15,1073363,Playoff Game,L,65.4,80.8
1073420,2014,16,1073361,Playoff Game 3rd place,W,88.38,57.36
1073420,2014,2,1073363,Division Game,W,95.74,89.68
1073420,2014,3,1075098,Non-Division Game,L,97.44,100.12
1073420,2014,4,1107405,Division Game,W,105.72,85.96
1073420,2014,5,1073370,Division Game,L,83.94,94.72
1073420,2014,6,1073358,Division Game Commish Edit,W,91.44,62.74
1073420,2014,7,1089754,Non-Division Game,W,89.82,81.34
1073420,2014,8,1115989,Division Game,W,77.42,63.3
1073420,2014,9,1073363,Division Game,L,80.36,96.98
1073420,2015,1,1115989,Division Game,W,112.02,74.04
1073420,2015,10,1073395,Non-Division Game,W,85.02,79.32
1073420,2015,11,1107405,Division Game,L,67.8,83.08
1073420,2015,12,1073370,Division Game,W,72.1,61.96
1073420,2015,13,1073358,Division Game,L,95.06,98.04
1073420,2015,14,1087309,Consolation Game,L,82.06,93.72
1073420,2015,2,1073363,Division Game,L,83.42,96.18
1073420,2015,3,1073671,Non-Division Game,W,134.2,79.56
1073420,2015,4,1107405,Division Game,L,65.64,88.28
1073420,2015,5,1073370,Division Game,L,75.16,83.14
1073420,2015,6,1073358,Division Game,L,84.7,96.84
1073420,2015,7,1087309,Non-Division Game,W,107.14,94.28
1073420,2015,8,1115989,Division Game,W,101.48,47.34
1073420,2015,9,1073363,Division Game,L,96.42,120.78
1073420,2016,1,1073358,Division Game,W,99.56,78.46
1073420,2016,10,1073361,Non-Division Game,L,101.78,118.34
1073420,2016,11,1107405,Division Game,W,83.98,70.42
1073420,2016,12,1073363,Division Game,L,58.06,73.24
1073420,2016,13,1115989,Division Game,W,74.38,71.02
1073420,2016,14,1073358,Playoff Game,W,77.08,55.76
